SELECTIONSORT,-,-,-,-,-
TAMAÑO/PRUEBA,1,2,3,4,5
50,1546,1550,1565,1554,1510
100,5654,5661,5664,5700,5639
500,129217,129156,129268,129159,129198
800,327057,326968,326904,326991,327091
1000,508885,509050,508793,508926,509096
2000,2019113,2019215,2019323,2019046,2019278
5000,12553306,12553049,12552933,12553266,12551938
10000,50112580,50111111,50113606,50112034,50110218
BUBBLESORT,-,-,-,-,-
TAMAÑO/PRUEBA,1,2,3,4,5
50,1795,1941,1973,1856,1910
100,7657,7783,7464,7655,7547
500,185925,187564,183592,187593,187259
800,487883,483448,482058,485039,477667
1000,750020,747894,754649,759145,749477
2000,3014987,2984439,2999446,2998969,2991100
5000,18577007,18736164,18672162,18733684,18742600
10000,75022856,75172338,75141512,75106195,75134964
HEAPSORT,-,-,-,-,-
TAMAÑO/PRUEBA,1,2,3,4,5
50,1643,1611,1591,1645,1606
100,3904,3830,3797,3906,3912
500,26858,26783,26721,26728,26959
800,46658,46474,46376,46451,46621
1000,59863,59778,60181,60220,60015
2000,133158,133161,133258,133183,133158
5000,376613,376163,376508,376167,376048
10000,817049,817126,817403,817985,817475
INSERTIONSORT,-,-,-,-,-
TAMAÑO/PRUEBA,1,2,3,4,5
50,1224,1141,1242,1366,1381
100,5239,5046,5188,5026,5444
500,128738,133370,120487,129434,127655
800,322763,312856,324358,312257,312173
1000,517177,517730,508475,494897,492272
2000,2024168,1999265,2048766,2021738,2049832
5000,12374033,12638334,12653735,12547166,12515735
10000,49995834,50149287,50127501,49850298,50329517
MERGESORT,-,-,-,-,-
TAMAÑO/PRUEBA,1,2,3,4,5
50,850,844,842,845,845
100,1970,1991,1985,1980,1980
500,13343,13314,13331,13342,13324
800,23056,23064,23094,23074,23084
1000,29628,29655,29663,29681,29655
2000,65337,65295,65333,65333,65296
5000,183834,183828,183848,183847,183887
10000,397731,397632,397620,397727,397748
QUICKSORT,-,-,-,-,-
TAMAÑO/PRUEBA,1,2,3,4,5
50,693,680,746,771,757
100,1731,1893,1816,1748,2019
500,13952,12747,13835,12736,13110
800,22150,24470,22185,21552,22636
1000,30447,27397,32673,28967,31170
2000,60996,65082,70223,64913,70155
5000,191383,182064,197193,182125,193277
10000,495313,434366,411517,412118,448062